"","roi","ROI","OLS_Coefficient","OLS_P_Value","OLS_N","IV_Coefficient","IV_StdError","IV_P_Value","Num_snps","IV_N"
"123","roi171","L_p47r_ROI",0.0309839510112376,0.390322264599043,5628,0.057688518389966,0.0467050516126625,0.216820170101585,2918,5628
"124","roi172","L_TGv_ROI",-0.00743526947326605,0.858884302685799,5628,0.731018574045698,0.249968838947099,0.00346457593388482,24,5628
"125","roi173","L_MBelt_ROI",0.0315748320654573,0.450923715711372,5628,0.0200729176127373,0.0561683720724554,0.720827903194561,2534,5628
"126","roi174","L_LBelt_ROI",0.0105820581085709,0.802021914468512,5628,0.00769543496877036,0.053275563992671,0.885153582049057,3220,5628
"127","roi175","L_A4_ROI",-0.0178593970596855,0.668903751875262,5628,-0.000552803663951181,0.0522556839223386,0.991559853006718,3067,5628
"128","roi176","L_STSva_ROI",-0.0118078927185328,0.787309150204905,5628,0.0258579612863153,0.0815126690184981,0.75108369372748,1243,5628
"129","roi177","L_TE1m_ROI",0.022791302390795,0.606449135659971,5628,0.0522032792727184,0.0593980327453101,0.37950816507454,2619,5628
"130","roi178","L_PI_ROI",0.0747416773156243,0.043310191251503,5628,0.17736765094759,0.0826490175960751,0.0319129308631807,758,5628
"131","roi179","L_a32pr_ROI",-0.0225310550214511,0.495758890211185,5628,-0.410757524535663,0.516190845927523,0.426212489290644,1,5628
"132","roi180","L_p24_ROI",-0.0371721311266762,0.288231817359005,5628,-0.0418735159039824,0.0628932750234578,0.505574681367565,1221,5628
"133","roi181","R_V1_ROI",0.0467433351921976,0.234541135630381,5628,0.0573000027916,0.048586614521129,0.238313863939704,3237,5628
"134","roi182","R_MST_ROI",0.0629664940102808,0.073133473461718,5628,0.761596096446393,0.179462767046602,2.23348892105722e-05,31,5628
"135","roi183","R_V6_ROI",0.0187778430257075,0.623368475330789,5628,-0.0136077258730056,0.0479032094196928,0.776369426342044,3287,5628
"136","roi184","R_V2_ROI",0.053399418642837,0.24065403959439,5628,-1.79102540834698,0.986517344845186,0.0694999027279668,1,5628
"137","roi189","R_3b_ROI",0.101183312514485,0.00817418018682007,5628,0.743789076765301,0.597185357227068,0.213003209342342,1,5628
