"roi","ROI","coeff_distance","p_value_distance"
"roi130","L_STSvp_ROI",0.0251070244309133,0.187812187812188
"roi131","L_TGd_ROI",0.0187037928793185,0.592407592407592
"roi132","L_TE1a_ROI",0.0283024261485247,0.0899100899100899
"roi133","L_TE1p_ROI",0.0255416404926113,0.157842157842158
"roi134","L_TE2a_ROI",0.0230833988445411,0.265734265734266
"roi135","L_TF_ROI",0.0259945987263296,0.161838161838162
"roi136","L_TE2p_ROI",0.0295814664358664,0.0639360639360639
"roi137","L_PHT_ROI",0.0178174143242594,0.735264735264735
"roi138","L_PH_ROI",0.0244595023967827,0.233766233766234
"roi139","L_TPOJ1_ROI",0.0186725090052296,0.642357642357642
"roi140","L_TPOJ2_ROI",0.044535765992511,0.001998001998002
"roi141","L_TPOJ3_ROI",0.0259676511874953,0.15984015984016
"roi142","L_DVT_ROI",0.0197132366790622,0.526473526473527
"roi143","L_PGp_ROI",0.0250786883335791,0.201798201798202
"roi144","L_IP2_ROI",0.0208434662646759,0.437562437562438
"roi145","L_IP1_ROI",0.0345531773868283,0.01998001998002
"roi146","L_IP0_ROI",0.0266462442832306,0.130869130869131
"roi147","L_PFop_ROI",0.0254673224412934,0.215784215784216
"roi148","L_PF_ROI",0.0169388817940383,0.831168831168831
"roi149","L_PFm_ROI",0.024876024186421,0.204795204795205
"roi150","L_PGi_ROI",0.0198523358243755,0.545454545454545
"roi151","L_PGs_ROI",0.0366468367146112,0.012987012987013
"roi152","L_V6A_ROI",0.0210416313453288,0.431568431568432
"roi153","L_VMV1_ROI",0.0202589974477678,0.498501498501498
"roi154","L_VMV3_ROI",0.0404050639050755,0.004995004995005
"roi155","L_PHA2_ROI",0.0176092525154126,0.727272727272727
"roi156","L_V4t_ROI",0.0187212153476319,0.634365634365634
"roi157","L_FST_ROI",0.0159795809782615,0.88011988011988
"roi158","L_V3CD_ROI",0.0283732543510746,0.110889110889111
"roi159","L_LO3_ROI",0.0220308925360673,0.337662337662338
"roi160","L_VMV2_ROI",0.0239386304263934,0.230769230769231
"roi161","L_31pd_ROI",0.0183135765783521,0.682317682317682
"roi162","L_31a_ROI",0.0256989147399691,0.162837162837163
"roi163","L_VVC_ROI",0.0189929390600281,0.614385614385614
"roi164","L_25_ROI",0.0187118865916426,0.662337662337662
"roi165","L_s32_ROI",0.0166110699549429,0.847152847152847
"roi166","L_pOFC_ROI",0.0192019287190164,0.573426573426573
"roi167","L_PoI1_ROI",0.0246509597067443,0.177822177822178
"roi168","L_Ig_ROI",0.0206275025151724,0.454545454545455
"roi169","L_FOP5_ROI",0.018509519719284,0.659340659340659
"roi170","L_p10p_ROI",0.0193311972564366,0.572427572427572
"roi171","L_p47r_ROI",0.0200996211319476,0.526473526473527
"roi172","L_TGv_ROI",0.022663546727582,0.270729270729271
"roi173","L_MBelt_ROI",0.0262750873217252,0.143856143856144
"roi174","L_LBelt_ROI",0.0164062478905302,0.835164835164835
"roi175","L_A4_ROI",0.0240951475169102,0.190809190809191
"roi176","L_STSva_ROI",0.025322674755902,0.163836163836164
"roi177","L_TE1m_ROI",0.0243784493385857,0.21978021978022
"roi178","L_PI_ROI",0.0324784636680425,0.030969030969031
"roi179","L_a32pr_ROI",0.0303836286806609,0.0639360639360639
"roi180","L_p24_ROI",0.0273153703051792,0.102897102897103
"roi181","R_V1_ROI",0.0186828569664882,0.653346653346653
"roi182","R_MST_ROI",0.0321001299752705,0.035964035964036
"roi183","R_V6_ROI",0.0219111615376792,0.370629370629371
"roi184","R_V2_ROI",0.0283639104733378,0.100899100899101
"roi185","R_V3_ROI",0.035160332269712,0.023976023976024
"roi186","R_V4_ROI",0.0318338505559243,0.043956043956044
"roi187","R_V8_ROI",0.01799423569911,0.733266733266733
"roi188","R_4_ROI",0.0368966580744986,0.01998001998002
"roi189","R_3b_ROI",0.0360453084858764,0.024975024975025
"roi190","R_FEF_ROI",0.0289836536493083,0.0749250749250749
"roi191","R_PEF_ROI",0.0207054151972228,0.447552447552448
"roi192","R_55b_ROI",0.019016066745539,0.607392607392607
"roi193","R_V3A_ROI",0.0252246772705206,0.192807192807193
"roi194","R_RSC_ROI",0.0170185201376479,0.796203796203796
"roi195","R_POS2_ROI",0.0180048774493192,0.714285714285714
"roi196","R_V7_ROI",0.0143079616164547,0.975024975024975
"roi197","R_IPS1_ROI",0.032457635597652,0.037962037962038
"roi198","R_FFC_ROI",0.0275913430686814,0.11988011988012
"roi199","R_V3B_ROI",0.0276172099655491,0.107892107892108
"roi200","R_LO1_ROI",0.0333154081602354,0.031968031968032
"roi201","R_LO2_ROI",0.0159943165091866,0.911088911088911
"roi202","R_PIT_ROI",0.0182535321815934,0.735264735264735
"roi203","R_MT_ROI",0.0213320865793156,0.401598401598402
"roi204","R_A1_ROI",0.0259260410562126,0.156843156843157
"roi205","R_PSL_ROI",0.0230169358238528,0.265734265734266
"roi206","R_SFL_ROI",0.0194887242018658,0.538461538461538
"roi207","R_PCV_ROI",0.0215478704050708,0.391608391608392
"roi208","R_STV_ROI",0.0234397691658282,0.277722277722278
"roi209","R_7Pm_ROI",0.016505970109455,0.849150849150849
"roi210","R_7m_ROI",0.0271876815259703,0.116883116883117
"roi211","R_POS1_ROI",0.0201378774886252,0.475524475524476
"roi212","R_23d_ROI",0.0234743644808125,0.274725274725275
"roi213","R_v23ab_ROI",0.0188675019454096,0.648351648351648
"roi214","R_d23ab_ROI",0.0189003624425973,0.612387612387612
"roi215","R_31pv_ROI",0.0417042942771831,0.002997002997003
"roi216","R_5m_ROI",0.0359163732722083,0.015984015984016
"roi217","R_5mv_ROI",0.0327017377321801,0.041958041958042
"roi218","R_23c_ROI",0.020382152406037,0.504495504495505
"roi219","R_5L_ROI",0.0240949147303301,0.245754245754246
"roi220","R_24dd_ROI",0.03908141447213,0.003996003996004
"roi221","R_24dv_ROI",0.0248034853454272,0.196803196803197
"roi222","R_7AL_ROI",0.0249580761909968,0.182817182817183
"roi223","R_SCEF_ROI",0.0400433749425569,0.00599400599400599
"roi224","R_6ma_ROI",0.0185600443206875,0.607392607392607
"roi225","R_7Am_ROI",0.0292605730040445,0.0639360639360639
"roi226","R_7PL_ROI",0.0180532882366611,0.676323676323676
"roi227","R_7PC_ROI",0.0207706117820364,0.461538461538462
