"","roi","ROI","Name","Network","Method","IVs","Coefficient","SE","Statistics","Pvalue","Pvalue_bh","Pvalue_bh_sci","Lower_CI","Upper_CI","Forest_Plot"
"111","roi274","R_47s","Right Area 47s","DMN","MR",18,-1.17364426353119,0.314000740581886,"-3.738",0.000187547404672167,0.00442489067265316,"4.42e-03",-1.78908571507169,-0.558202811990693,"-1.17 (-1.79, -0.56)"
"112",NA,NA,NA,NA,"2SLS (1)",52,-1.16605163209645,0.263239568599398,"-4.430",9.59777161753503e-06,0.00036882865215956,"3.69e-04",-1.68200118655127,-0.65010207764163,"-1.17 (-1.68, -0.65)"
"113",NA,NA,NA,NA,"2SLS (2)",22,-1.27267634485001,0.301794519730726,"-4.217",2.51431973477788e-05,0.00170852658719758,"1.71e-03",-1.86419360352223,-0.681159086177787,"-1.27 (-1.86, -0.68)"
"114",NA,NA,NA,NA,"2SLS (3)",328,-0.154700770943288,0.136718654762426,"-1.132",0.257881883761027,0.519044708479498,"5.19e-01",-0.422669334277643,0.113267792391067,"-0.15 (-0.42,  0.11)"
"115",NA,NA,NA,NA,"2SRI (Binary)",18,-0.0295479398841536,0.0310212490935266,"-0.953",0.34084019579026,0.898882477133137,"8.99e-01",-0.0903495881074657,0.0312537083391585,"-0.03 (-0.09,  0.03)"
"116","roi310","R_STSvp","Right Area STSv posterior","DMN","MR",3633,0.157345502451628,0.0584328257766783,"2.693",0.00710737896050281,0.042486332008339,"4.25e-02",0.0428171639293385,0.271873840973917," 0.16 ( 0.04,  0.27)"
"117",NA,NA,NA,NA,"2SLS (1)",3676,0.152913393750985,0.0569815942120567,"2.684",0.00730316953397659,0.033871596631719,"3.39e-02",0.0412294690953539,0.264597318406616," 0.15 ( 0.04,  0.26)"
"118",NA,NA,NA,NA,"2SLS (2)",3626,0.146895602739074,0.0569164429058431,"2.581",0.00987946260565176,0.0517041621771877,"5.17e-02",0.0353393746436215,0.258451830834526," 0.15 ( 0.04,  0.26)"
"119",NA,NA,NA,NA,"2SLS (3)",3770,0.159625401706313,0.0583236133980112,"2.737",0.00622178420898958,0.0378218449855167,"3.78e-02",0.0453111194462111,0.273939683966415," 0.16 ( 0.05,  0.27)"
"120",NA,NA,NA,NA,"2SRI (Binary)",3633,0.101415255283595,0.0329886595809657,"3.074",0.00211035327567421,0.283842515578181,"2.84e-01",0.0367574825049022,0.166073028062288," 0.10 ( 0.04,  0.17)"
"121","roi330","R_PGi","Right Area PGi","DMN","MR",7,1.11249636475343,0.368847270502431,"3.016",0.00257157566764007,0.0245675596074679,"2.46e-02",0.389555714568665,1.83543701493819," 1.11 ( 0.39,  1.84)"
"122",NA,NA,NA,NA,"2SLS (1)",14,2.00131375510219,0.404303123407835,"4.950",7.61092566854534e-07,0.00020473390048387,"2.05e-04",1.20887963322283,2.79374787698155," 2.00 ( 1.21,  2.79)"
