"","exposure","roi","ROI","OLS_Coefficient","OLS_P_Value","OLS_N","IV_Coefficient","IV_StdError","IV_P_Value","Num_snps","IV_N","roi_num"
"89","adhd","roi89","L_a10p_ROI",0.00529974970932819,0.355340422813894,6380,-0.0296063565280717,0.0119203814297661,0.0130289555158994,900,6380,89
"90","adhd","roi90","L_10pp_ROI",-0.0125552777892112,0.0489463765366785,6380,-0.0432975685126728,0.0132399418106302,0.00108033669942472,900,6380,90
"91","adhd","roi91","L_11l_ROI",0.00663703469097958,0.233007936217464,6380,-0.00957810416752788,0.0115430520466579,0.406698662419171,900,6380,91
"92","adhd","roi92","L_13l_ROI",0.00133169454818933,0.785209883251045,6380,-0.01420503522521,0.0101371762598112,0.161178696713312,900,6380,92
"93","adhd","roi93","L_OFC_ROI",-0.00574219976735217,0.257691820672076,6380,-0.00991907241587932,0.0105166808004169,0.345627070623231,900,6380,93
"94","adhd","roi94","L_47s_ROI",-0.000716161034840644,0.848475564597813,6380,-0.00610537292901768,0.00777132683034493,0.432114602514088,900,6380,94
"95","adhd","roi95","L_LIPd_ROI",0.00445153628734039,0.208546619731398,6380,-0.0066334211780124,0.00734306583007894,0.366369799605393,900,6380,95
"96","adhd","roi96","L_6a_ROI",-0.00327766165717932,0.456790612463957,6380,0.00639345441338367,0.00913390282681165,0.483971844079821,900,6380,96
"97","adhd","roi97","L_i6-8_ROI",0.00294856387020488,0.470822980586943,6380,0.00811038574010126,0.0084767467502093,0.338714381194308,900,6380,97
"98","adhd","roi98","L_s6-8_ROI",0.00971901041548967,0.0219992950319704,6380,0.00179553658525331,0.00879705149595838,0.838276689236924,900,6380,98
"99","adhd","roi99","L_43_ROI",-0.00279851791046153,0.397340417959815,6380,-0.00552144634575349,0.00685435268154352,0.420538951257932,900,6380,99
"100","adhd","roi100","L_OP4_ROI",-0.00515988124029215,0.086799573546797,6380,-0.0052806685076363,0.00624518771524153,0.397831116761894,900,6380,100
"101","adhd","roi101","L_OP1_ROI",-0.00291915658671981,0.381651370094709,6380,-0.00388216756204667,0.00691676434117038,0.574633702301929,900,6380,101
